wage 	educ  	exper	tenure	nonwhite  	female 	married  	numdep	smsa 	northcen  	south                    	west 	construc	trade                    	services	profserv	profocc 	clerocc   	servocc                  	lwage 	expersq 	tenursq 
3,1	11	2	0	0	1	0	2	1	0	0	1	0	0	0	0	0	0	0	1,131	4	0
3,24	12	22	2	0	1	1	3	1	0	0	1	0	0	1	0	0	0	1	1,176	484	4
3	11	2	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	1,099	4	0
6	8	44	28	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1,792	1936	784
5,3	12	7	2	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1,668	49	4
8,75	16	9	8	0	0	1	0	1	0	0	1	0	0	0	1	1	0	0	2,169	81	64
11,25	18	15	7	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	2,420	225	49
5	12	5	3	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1,609	25	9
3,6	12	26	4	0	1	0	2	1	0	0	1	0	1	0	0	1	0	0	1,281	676	16
18,18	17	22	21	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	2,900	484	441
6,25	16	8	2	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	1,833	64	4
8,13	13	3	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	2,096	9	0
8,77	12	15	0	0	0	1	2	1	0	0	1	0	0	0	0	0	0	0	2,171	225	0
5,5	12	18	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1,705	324	9
22,2	12	31	15	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	3,100	961	225
17,33	16	14	0	0	0	1	1	1	0	0	1	0	0	0	1	1	0	0	2,852	196	0
7,5	12	10	0	0	1	1	0	1	0	0	1	0	0	0	0	0	1	0	2,015	100	0
10,63	13	16	10	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	2,364	256	100
3,6	12	13	0	0	1	1	3	1	0	0	1	0	0	0	0	0	0	0	1,281	169	0
4,5	12	36	6	0	1	1	0	1	0	0	1	0	0	0	1	0	0	1	1,504	1296	36
6,88	12	11	4	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	1,929	121	16
8,48	12	29	13	0	0	1	3	1	0	0	1	0	0	0	0	0	0	0	2,138	841	169
6,33	16	9	9	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1,845	81	81
0,53	12	3	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	-0,635	9	1
6	11	37	8	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1,792	1369	64
9,56	16	3	3	1	0	1	1	1	0	0	1	0	0	0	0	1	0	0	2,258	9	9
7,78	16	11	10	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	2,052	121	100
12,5	16	31	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	2,526	961	0
12,5	15	30	0	0	0	1	2	1	0	0	1	0	0	0	0	1	0	0	2,526	900	0
3,25	8	9	1	0	1	1	2	1	0	0	1	0	0	0	0	0	0	0	1,179	81	1
13	14	23	5	0	0	1	2	1	0	0	1	0	0	0	1	1	0	0	2,565	529	25
4,5	14	2	5	0	1	0	2	1	0	0	1	0	1	0	0	0	0	0	1,504	4	25
9,68	13	16	16	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	2,270	256	256
5	12	7	3	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1,609	49	9
4,68	12	3	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1,543	9	0
4,27	16	22	4	1	1	1	1	1	0	0	1	0	1	0	0	1	0	0	1,452	484	16
6,15	12	15	6	1	1	1	1	1	0	0	1	0	0	1	0	0	0	1	1,816	225	36
3,51	4	39	15	0	0	1	5	1	0	0	1	0	1	0	0	0	0	0	1,256	1521	225
3	14	3	3	0	1	1	0	1	0	0	1	0	0	0	1	0	1	0	1,099	9	9
6,25	12	11	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	1,833	121	0
7,81	12	3	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	1	2,055	9	0
10	12	20	5	1	1	1	4	1	0	0	1	0	0	0	1	0	1	0	2,303	400	25
4,5	14	16	0	0	1	1	1	1	0	0	1	0	0	0	1	0	1	0	1,504	256	0
4	11	45	12	0	1	1	0	1	0	0	1	0	0	0	1	0	0	1	1,386	2025	144
6,38	13	11	4	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1,853	121	16
13,7	15	20	13	0	0	1	2	1	0	0	1	0	0	0	1	1	0	0	2,617	400	169
1,67	10	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0,513	1	0
2,93	12	36	2	0	1	1	1	1	0	0	1	0	1	0	0	1	0	0	1,075	1296	4
3,65	14	9	2	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1,295	81	4
2,9	12	15	1	0	1	1	2	1	0	0	1	0	0	1	0	0	0	1	1,065	225	1
1,63	12	18	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	1	0,489	324	0
8,6	16	3	2	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	2,152	9	4
5	12	15	5	0	0	1	1	1	0	0	0	0	1	0	0	0	1	0	1,609	225	25
6	12	7	7	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1,792	49	49
2,5	12	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0,916	4	0
3,25	15	3	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1,179	9	0
3,4	16	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1,224	1	1
10	8	13	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2,303	169	0
21,63	18	8	8	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	3,074	64	64
4,38	16	7	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1,477	49	0
11,71	13	40	20	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	2,460	1600	400
12,39	14	42	5	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	2,517	1764	25
6,25	10	36	8	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1,833	1296	64
3,71	10	13	0	1	1	0	4	1	0	0	0	0	0	0	1	0	1	0	1,311	169	0
7,78	14	9	3	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	2,052	81	9
19,98	14	26	23	0	0	1	2	1	0	0	0	0	0	0	0	1	0	0	2,995	676	529
6,25	16	7	4	1	1	1	3	1	0	0	0	0	0	0	1	1	0	0	1,833	49	16
10	12	25	3	0	0	1	3	1	0	0	0	0	0	0	1	1	0	0	2,303	625	9
5,71	16	10	5	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	1,742	100	25
2	12	3	2	0	1	0	4	1	0	0	0	0	0	1	0	0	0	0	0,693	9	4
5,71	16	3	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1,742	9	0
13,08	17	17	2	1	0	1	3	1	0	0	0	0	0	0	1	1	0	0	2,571	289	4
4,91	12	17	8	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	1,591	289	64
2,91	12	20	34	0	1	1	2	1	0	0	0	0	0	1	0	0	1	0	1,068	400	1156
3,75	12	7	0	0	1	1	0	1	0	0	0	1	0	0	0	0	1	0	1,322	49	0
11,9	13	24	19	0	0	1	2	1	0	0	0	0	0	0	1	1	0	0	2,477	576	361
4	12	28	0	0	1	1	1	1	0	0	0	0	0	0	1	0	1	0	1,386	784	0
3,1	12	2	1	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	1,131	4	1
8,45	12	19	13	0	0	1	4	1	0	0	0	0	0	0	0	0	0	0	2,134	361	169
7,14	18	13	0	0	0	1	2	1	0	0	0	0	0	0	1	1	0	0	1,966	169	0
4,5	9	22	5	0	0	1	4	1	0	0	0	0	0	0	0	0	0	0	1,504	484	25
4,65	16	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1,537	9	1
2,9	10	4	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	1,065	16	0
6,67	12	7	5	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1,898	49	25
3,5	12	6	2	1	1	0	1	1	0	0	0	0	0	0	1	0	0	1	1,253	36	4
3,26	12	13	3	0	1	1	1	1	0	0	0	0	1	0	0	1	0	0	1,182	169	9
3,25	12	14	0	0	1	1	1	1	0	0	0	0	0	0	1	0	1	0	1,179	196	0
8	12	14	4	0	1	0	1	1	0	0	0	0	0	0	1	1	0	0	2,079	196	16
9,85	8	40	24	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	2,287	1600	576
7,5	12	11	7	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	2,015	121	49
5,91	12	14	6	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1,777	196	36
